Control ID,Category,Requirement,Status,Implementation Notes,Evidence Location,Last Verified
V1.1.1,Architecture,Secure SDLC with code review,PASS,Code review process via Git workflow,GitHub repository,2025-10-04
V1.1.2,Architecture,Threat model documented,PASS,Comprehensive threat model in SECURITY.md,SECURITY.md lines 9-33,2025-10-04
V1.4.1,Architecture,Trusted enforcement points (RLS),PASS,Row Level Security enabled on all tables,Supabase RLS policies,2025-10-04
V1.5.1,Architecture,Input validation at boundaries,PASS,Zod schemas for all forms,src/components/Forms/*,2025-10-04
V2.1.1,Authentication,Password-based authentication,PASS,Supabase Auth with bcrypt hashing,src/integrations/supabase/client.ts,2025-10-04
V2.1.2,Authentication,Email verification supported,PASS,Email confirmation flow enabled,Supabase Auth settings,2025-10-04
V2.1.3,Authentication,Password strength requirements,PASS,Minimum 8 chars enforced by Supabase,Supabase Auth config,2025-10-04
V2.1.4,Authentication,Credential enumeration protection,PASS,Generic error messages for failed logins,src/pages/Auth.tsx,2025-10-04
V2.1.5,Authentication,Account lockout after failed attempts,FAIL,Not currently implemented - Supabase default unlimited retries,N/A,2025-10-04
V2.1.9,Authentication,Password reset via email,PASS,Secure password reset flow with token expiry,Supabase Auth,2025-10-04
V2.1.12,Authentication,Password change requires old password,PASS,Supabase enforces current password for change,Supabase Auth,2025-10-04
V2.2.1,Authentication,Anti-automation controls,PARTIAL,Rate limiting on Edge Functions only - no CAPTCHA,Edge function rate limits,2025-10-04
V2.2.2,Authentication,Password breach detection,FAIL,Leaked password detection not enabled in Supabase,Security-Errors.md,2025-10-04
V2.2.3,Authentication,Secure password reset,PASS,Time-limited tokens sent via email only,Supabase Auth,2025-10-04
V2.3.1,Authentication,Session tokens cryptographically random,PASS,JWT tokens signed with HS256,Supabase Auth,2025-10-04
V2.3.2,Authentication,Session invalidation on logout,PASS,supabase.auth.signOut() terminates session,src/components/Auth/*,2025-10-04
V2.3.3,Authentication,Session timeout after inactivity,PASS,1-hour access token expiry with refresh rotation,src/integrations/supabase/client.ts,2025-10-04
V2.5.1,Authentication,Credential recovery,PASS,Email-based account recovery,Supabase Auth,2025-10-04
V2.7.1,Authentication,Re-authentication for sensitive ops,FAIL,Not implemented - sensitive ops don't require re-auth,N/A,2025-10-04
V2.7.2,Authentication,OAuth state parameter,PASS,PKCE flow enabled for OAuth,src/integrations/supabase/client.ts line 19,2025-10-04
V2.8.1,Authentication,Multi-factor authentication,FAIL,MFA not enabled - planned for future,N/A,2025-10-04
V3.1.1,Session Management,Session binding to TLS connection,PASS,All sessions over HTTPS with HSTS,index.html CSP/HSTS headers,2025-10-04
V3.2.1,Session Management,Session tokens cryptographically strong,PASS,JWTs with 256-bit keys,Supabase Auth,2025-10-04
V3.2.2,Session Management,Session ID not exposed in URLs,PASS,JWT in Authorization header only,Supabase client,2025-10-04
V3.2.3,Session Management,Session storage secure,PARTIAL,localStorage used (XSS vulnerable) - no SSR,src/integrations/supabase/client.ts,2025-10-04
V3.2.4,Session Management,Session tokens are single use or rotated,PASS,Refresh tokens rotate on every use,Supabase Auth,2025-10-04
V3.3.1,Session Management,Logout terminates server-side session,PASS,supabase.auth.signOut() invalidates server session,Supabase Auth,2025-10-04
V3.3.2,Session Management,Absolute session timeout,PASS,1-hour access token + refresh token rotation,Supabase Auth,2025-10-04
V3.3.3,Session Management,Idle timeout,PASS,Auto-refresh only on user activity,src/integrations/supabase/client.ts,2025-10-04
V3.3.4,Session Management,Session termination notification,FAIL,User not notified when session expires,N/A,2025-10-04
V3.4.1,Session Management,Cookie-based sessions with Secure flag,PASS,Sidebar cookie has Secure flag in production,src/components/ui/sidebar.tsx,2025-10-04
V3.4.2,Session Management,Cookie HttpOnly attribute,PARTIAL,Auth in localStorage (can't use HttpOnly) - sidebar cookie can't set HttpOnly client-side,Cookie-Matrix.md,2025-10-04
V3.4.3,Session Management,Cookie SameSite attribute,PASS,"Auth N/A (localStorage), sidebar=Lax",Cookie-Matrix.md lines 168-188,2025-10-04
V3.4.5,Session Management,Cookie scope correctly set,PASS,Path=/ for application-wide access,src/components/ui/sidebar.tsx,2025-10-04
V4.1.1,Access Control,Deny by default principle,PASS,RLS denies all access unless explicitly granted,Supabase RLS policies,2025-10-04
V4.1.2,Access Control,Attribute/feature-based access control,PASS,RBAC via user_roles table with has_role() function,SECURITY.md lines 84-89,2025-10-04
V4.1.3,Access Control,Principle of least privilege,PASS,Role hierarchy with minimal permissions per role,Database RLS policies,2025-10-04
V4.1.5,Access Control,Server-side access control enforcement,PASS,All access control via Supabase RLS (server-side),Supabase database,2025-10-04
V4.2.1,Access Control,Data access is resource-scoped,PASS,Organization-scoped queries via RLS,get_user_organization() function,2025-10-04
V4.2.2,Access Control,User data isolation,PASS,Users can only access own org/dealer data,RLS policies with org_id checks,2025-10-04
V4.3.1,Access Control,Admin interfaces use appropriate MFA,FAIL,No MFA implemented,N/A,2025-10-04
V4.3.2,Access Control,Directory browsing disabled,PASS,React SPA - no directory listing,Vite configuration,2025-10-04
V4.3.3,Access Control,API rate limiting,PASS,Rate limiting on Edge Functions,Edge function configuration,2025-10-04
V5.1.1,Input Validation,Input validation for security,PASS,Zod schemas validate all form inputs,Multiple form components,2025-10-04
V5.1.2,Input Validation,Structured data from trusted sources,PASS,TypeScript types + Zod validation,Database types in types.ts,2025-10-04
V5.1.3,Input Validation,Output encoding for context,PASS,React automatic escaping + CSP headers,React framework + Security-Gate-Report.md,2025-10-04
V5.1.4,Input Validation,Character set validation,PASS,UTF-8 enforced via database/API,Supabase configuration,2025-10-04
V5.1.5,Input Validation,Validation on every tier,PASS,Client (Zod) + Server (RLS) validation,Frontend forms + Database policies,2025-10-04
V5.2.1,Input Validation,Sanitization against injection,PASS,Parameterized queries via Supabase client (no raw SQL),Supabase client implementation,2025-10-04
V5.2.2,Input Validation,SQL injection prevention,PASS,No raw SQL - all queries parameterized,Supabase client usage,2025-10-04
V5.2.3,Input Validation,LDAP injection prevention,N/A,No LDAP integration,N/A,2025-10-04
V5.2.4,Input Validation,OS command injection prevention,PASS,No shell commands from user input,Codebase review,2025-10-04
V5.2.5,Input Validation,XML injection prevention,N/A,No XML processing,N/A,2025-10-04
V5.2.7,Input Validation,Template injection prevention,PASS,React escaping + no server-side templating,React framework,2025-10-04
V5.2.8,Input Validation,SSRF prevention,PASS,No user-controlled URLs for backend requests,Edge function review,2025-10-04
V5.3.1,Input Validation,XSS protection,PASS,React escaping + CSP headers,Security-Gate-Report.md,2025-10-04
V5.3.2,Input Validation,User-controlled content sanitization,PASS,No dangerouslySetInnerHTML used,Codebase review,2025-10-04
V5.3.3,Input Validation,Context-aware output encoding,PASS,React handles encoding automatically,React framework,2025-10-04
V5.3.4,Input Validation,DOM-based XSS protection,PASS,No unsafe DOM manipulation,Codebase review,2025-10-04
V5.3.5,Input Validation,CSP to prevent XSS,PASS,Strict CSP implemented,Security-Gate-Report.md + index.html,2025-10-04
V5.3.6,Input Validation,User upload file type validation,FAIL,File upload not yet implemented,N/A,2025-10-04
V5.4.1,Input Validation,Memory-safe string operations,PASS,JavaScript string handling (memory-safe),Language feature,2025-10-04
V5.4.2,Input Validation,Format string attack prevention,PASS,No C-style format strings,Language feature,2025-10-04
V5.4.3,Input Validation,Integer overflow protection,PASS,JavaScript number safety + validation,Zod number schemas,2025-10-04
V5.5.1,Input Validation,Deserialization of untrusted data,PASS,JSON only - no eval() or unsafe deserialization,Codebase review,2025-10-04
V5.5.2,Input Validation,XML parser hardening,N/A,No XML processing,N/A,2025-10-04
V5.5.3,Input Validation,JSON schema validation,PASS,Zod schemas for all JSON payloads,Form validation,2025-10-04
V6.1.1,Cryptography,Sensitive data encrypted at rest,PASS,Supabase encrypts database at rest,Supabase platform feature,2025-10-04
V6.1.2,Cryptography,Sensitive data encrypted in transit,PASS,TLS 1.3 for all connections + HSTS,Security-Gate-Report.md,2025-10-04
V6.1.3,Cryptography,Secrets not hardcoded,PASS,All secrets in Supabase Secrets (env vars),Supabase dashboard,2025-10-04
V6.2.1,Cryptography,TLS/SSL for all connections,PASS,HTTPS enforced via HSTS header,Security-Gate-Report.md,2025-10-04
V6.2.2,Cryptography,Strong TLS configuration,PASS,TLS 1.2+ with strong ciphers,Supabase/Lovable infrastructure,2025-10-04
V6.2.3,Cryptography,Secure TLS cipher suites,PASS,Modern cipher suites only,Platform configuration,2025-10-04
V6.2.5,Cryptography,Certificate validation,PASS,Valid SSL certificates,Platform managed,2025-10-04
V6.2.6,Cryptography,HSTS header present,PASS,Strict-Transport-Security with 1 year max-age,Security-Gate-Report.md + public/sw.js,2025-10-04
V6.3.1,Cryptography,Master secrets properly protected,PASS,Secrets in Supabase Secrets (encrypted at rest),Supabase Secrets,2025-10-04
V6.3.2,Cryptography,Cryptographic modules fail securely,PASS,WebCrypto API standard error handling,src/lib/crypto.ts,2025-10-04
